	ENGINE_LOAD	RPM	SPEED	THROTTLE_POS	ACC_D	LABEL	TIME
925	0.0	2624.5	48.0	88.6274509804	14.5098039216	normal	225910595.0
926	0.0	2626.25	48.0	88.6274509804	14.5098039216	normal	225910729.0
927	0.0	2608.0	48.0	88.6274509804	14.5098039216	normal	225910878.0
928	0.0	2600.5	48.0	88.6274509804	14.5098039216	normal	225911013.0
929	0.0	2610.75	47.0	88.6274509804	14.5098039216	normal	225911164.0
930	0.0	2587.0	47.0	88.6274509804	14.5098039216	normal	225911288.0
931	0.0	2575.5	47.0	88.6274509804	14.5098039216	normal	225911439.0
932	0.0	2575.0	47.0	88.6274509804	14.5098039216	normal	225911582.0
933	0.0	2561.25	47.0	88.6274509804	14.5098039216	normal	225911733.0
934	0.0	2554.75	46.0	88.6274509804	14.5098039216	normal	225911863.0
935	0.0	2543.0	47.0	88.6274509804	14.5098039216	normal	225911982.0
936	0.0	2530.5	46.0	88.6274509804	14.5098039216	normal	225912112.0
937	0.0	2508.0	46.0	88.6274509804	14.5098039216	normal	225912243.0
938	0.0	2478.0	45.0	88.6274509804	14.5098039216	normal	225912375.0
939	0.0	2440.25	44.0	88.6274509804	14.5098039216	normal	225912522.0
940	0.0	2390.25	43.0	88.6274509804	14.5098039216	normal	225912658.0
941	0.0	2321.0	42.0	88.6274509804	14.5098039216	normal	225912803.0
942	0.0	2230.75	41.0	88.6274509804	14.5098039216	normal	225912927.0
943	0.0	2172.75	40.0	88.6274509804	14.5098039216	normal	225913066.0
944	0.0	2105.0	39.0	88.6274509804	14.5098039216	normal	225913205.0
945	0.0	2050.5	38.0	88.6274509804	14.5098039216	normal	225913356.0
946	0.0	2014.75	37.0	88.6274509804	14.5098039216	normal	225913492.0
947	0.0	1978.25	36.0	88.6274509804	14.5098039216	normal	225913632.0
948	0.0	1921.75	35.0	88.6274509804	14.5098039216	normal	225913782.0
949	0.0	1902.25	35.0	88.6274509804	14.5098039216	normal	225913904.0
950	0.0	1882.75	34.0	88.6274509804	14.5098039216	normal	225914003.0
951	0.0	1861.0	34.0	88.6274509804	14.5098039216	normal	225914125.0
952	0.0	1826.75	34.0	88.6274509804	14.5098039216	normal	225914276.0
953	0.0	1808.75	33.0	88.6274509804	14.5098039216	normal	225914416.0
954	0.0	1791.25	32.0	88.6274509804	14.5098039216	normal	225914573.0
955	0.0	1744.25	32.0	88.6274509804	14.5098039216	normal	225914724.0
956	0.0	1718.75	31.0	88.6274509804	14.5098039216	normal	225914862.0
957	0.0	1713.75	31.0	88.6274509804	14.5098039216	normal	225915002.0
958	0.0	1714.25	31.0	88.6274509804	14.5098039216	normal	225915134.0
959	0.0	1711.75	32.0	88.6274509804	14.5098039216	normal	225915263.0
960	0.0	1709.25	31.0	88.6274509804	14.5098039216	normal	225915394.0
961	0.0	1680.25	30.0	88.6274509804	14.5098039216	normal	225915544.0
962	0.0	1624.5	30.0	88.6274509804	14.5098039216	normal	225915662.0
963	0.0	1588.25	29.0	88.6274509804	14.5098039216	normal	225915795.0
964	0.0	1580.25	29.0	88.6274509804	14.5098039216	normal	225915942.0
965	0.0	1591.5	29.0	88.6274509804	14.5098039216	normal	225916063.0
966	0.0	1606.25	28.0	88.6274509804	14.5098039216	normal	225916199.0
967	0.0	1629.5	28.0	88.6274509804	14.5098039216	normal	225916350.0
968	0.0	1662.5	27.0	88.6274509804	14.5098039216	normal	225916483.0
969	0.0	1690.25	26.0	88.6274509804	14.5098039216	normal	225916640.0
970	0.0	1731.75	25.0	88.6274509804	14.5098039216	normal	225916762.0
971	0.0	1761.0	24.0	88.6274509804	14.5098039216	normal	225916885.0
972	0.0	1812.0	23.0	88.6274509804	14.5098039216	normal	225917023.0
973	0.0	1857.5	22.0	88.6274509804	14.5098039216	normal	225917164.0
974	0.0	1825.25	21.0	88.6274509804	14.5098039216	normal	225917311.0
975	0.0	1668.5	20.0	88.6274509804	14.5098039216	normal	225917423.0
976	0.0	1597.5	19.0	88.6274509804	14.5098039216	normal	225917573.0
977	0.0	1558.25	18.0	88.6274509804	14.5098039216	normal	225917714.0
978	0.0	1453.5	17.0	88.6274509804	14.5098039216	normal	225917865.0
979	0.0	1468.0	17.0	88.6274509804	14.5098039216	normal	225918003.0
980	0.0	1451.0	17.0	88.6274509804	14.5098039216	normal	225918133.0
981	0.0	1441.0	17.0	88.6274509804	14.5098039216	normal	225918262.0
982	0.0	1493.75	17.0	88.6274509804	27.4509803922	normal	225918413.0
983	6.27450980392	1553.25	18.0	88.6274509804	32.5490196078	normal	225918564.0
984	12.5490196078	1515.25	18.0	88.6274509804	32.1568627451	normal	225918692.0
985	26.2745098039	1562.25	18.0	88.6274509804	32.1568627451	normal	225918833.0
986	24.3137254902	1598.5	19.0	88.6274509804	32.1568627451	normal	225918968.0
987	23.137254902	1645.0	19.0	88.6274509804	37.2549019608	normal	225919119.0
988	26.6666666667	1696.5	20.0	88.6274509804	37.6470588235	normal	225919246.0
989	30.1960784314	1727.25	20.0	88.6274509804	37.6470588235	normal	225919364.0
